fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;presMax;horaPresMax;presMin;horaPresMin;hrMedia;hrMax;horaHrMax;hrMin;horaHrMin;dir;velmedia;racha;horaracha;sol;llamadas_112
2021-01-07;3195;MADRID, RETIRO;MADRID;667;0,4;2,3;-0,6;22:30;1,4;Varias;935,1;10;932,8;05;82;97;14:30;57;00:00;;;;;;0
2021-01-07;3260B;TOLEDO;TOLEDO;513;0,8;9,2;-0,7;23:59;2,3;Varias;951,9;Varias;949,5;04;98;100;Varias;71;Varias;07;2,8;7,2;02:00;0,0;0
2021-01-08;3195;MADRID, RETIRO;MADRID;667;-0,4;32,9;-1,0;Varias;0,3;Varias;933,7;Varias;926,5;24;87;99;Varias;67;Varias;;;;;;12500
2021-01-08;3260B;TOLEDO;TOLEDO;513;0,0;36,6;-1,1;05:00;1,0;13:00;951,0;00;942,0;24;97;100;Varias;86;01:40;07;4,4;10,6;16:50;0,0;12500
2021-01-09;3195;MADRID, RETIRO;MADRID;667;-0,6;17,7;-1,6;Varias;0,5;21:10;930,1;23;924,1;13;99;100;Varias;98;Varias;;;;;;21500
2021-01-09;3260B;TOLEDO;TOLEDO;513;-0,3;9,0;-2,4;23:30;1,8;Varias;;;;;98;100;Varias;92;15:00;05;2,5;10,3;05:50;0,0;21500
2021-01-10;3195;MADRID, RETIRO;MADRID;667;1,2;0,0;-0,8;05:10;3,2;14:30;938,9;23;930,0;00;86;99;Varias;75;14:30;;;;;;18000
2021-01-10;3260B;TOLEDO;TOLEDO;513;0,1;;-4,1;23:20;4,3;15:00;;;;;94;100;Varias;74;15:20;27;0,8;2,8;12:10;7,0;18000
2021-01-11;3195;MADRID, RETIRO;MADRID;667;-0,6;0,0;-4,4;07:40;3,2;13:40;947,5;24;938,8;00;70;95;23:20;57;14:00;;;;;;0
2021-01-11;3260B;TOLEDO;TOLEDO;513;-1,4;;-8,0;08:00;5,2;14:20;965,5;24;956,7;00;80;100;03:30;57;13:40;99;0,3;2,5;14:50;8,9;0
2021-01-12;3195;MADRID, RETIRO;MADRID;667;-3,4;0,0;-7,4;08:20;0,7;13:40;951,8;23;947,5;00;76;93;00:00;61;12:10;;;;;;0
2021-01-12;3260B;TOLEDO;TOLEDO;513;-6,2;;-13,4;08:00;0,9;16:20;969,8;23;965,3;00;82;98;09:00;65;15:00;10;1,1;3,6;17:00;8,8;0
